number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
4.05,"[array([-12,   1, -18,   6]), array([710, 290, 740, 660]), array([0.25, 0.25, 0.25, 0.15])]","[array([ 8.,  0., 19.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 16, -15,  10,  -9]), array([530, 630, 490, 260]), array([0.15, 0.25, 0.15, 0.25])]","[array([11.,  0., 16.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ -9,  -9, -18,   6]), array([690, 600, 660, 550]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.05,"[array([-16, -19,  -5,  15]), array([390, 680, 490, 200]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 8.,  0., 19.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([-11,  10,  10,  18]), array([660, 250, 600, 260]), array([0.25, 0.25, 0.15, 0.15])]","[array([12.,  0.,  0., 15.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.32,"[array([ 13,   5,   9, -17]), array([440, 280, 330, 750]), array([0.25, 0.25, 0.25, 0.25])]","[array([ 3.,  0., 19.,  0.]), array([200., 200., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 1, 11, -9, -5]), array([230, 520, 400, 680]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 4,  7, -4, -4]), array([730, 430, 580, 590]), array([0.25, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-19,  -8,   3, -19]), array([690, 500, 210, 380]), array([0.25, 0.15, 0.25, 0.25])]","[array([10.,  0., 17.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([-4, -4, 18, 10]), array([600, 750, 360, 270]), array([0.15, 0.15, 0.15, 0.15])]","[array([15.,  0.,  0., 12.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-1,  3,  9, -3]), array([630, 370, 730, 610]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([-14,   7,   3,  -8]), array([580, 680, 750, 690]), array([0.15, 0.15, 0.25, 0.15])]","[array([15.,  0., 12.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 2, 16, -8, 18]), array([610, 480, 400, 250]), array([0.25, 0.15, 0.25, 0.25])]","[array([ 0.,  0.,  0., 19.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 5,  6, -7, 18]), array([430, 390, 460, 300]), array([0.25, 0.25, 0.25, 0.25])]","[array([11.,  0.,  0., 16.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([  8,  -9, -19,  17]), array([520, 600, 690, 480]), array([0.25, 0.15, 0.15, 0.25])]","[array([ 0., 13.,  0., 14.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.89,"[array([ 9, 14,  2,  1]), array([350, 360, 300, 230]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  3.,  0.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ -5, -12, -12, -13]), array([240, 360, 360, 320]), array([0.25, 0.25, 0.15, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([  4, -18, -18,  12]), array([560, 550, 260, 540]), array([0.15, 0.25, 0.15, 0.25])]","[array([10.,  0., 17.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([-17, -17, -15,   7]), array([520, 680, 280, 310]), array([0.25, 0.25, 0.25, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-19,   5,  11, -13]), array([690, 580, 380, 270]), array([0.15, 0.15, 0.15, 0.25])]","[array([17.,  0., 10.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([  3,  -7, -19, -15]), array([500, 240, 510, 760]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 0., 10.,  0., 17.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-19,  15,   3,  18]), array([420, 600, 480, 630]), array([0.25, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([-6, 16, 11, -9]), array([480, 490, 800, 270]), array([0.15, 0.15, 0.25, 0.25])]","[array([16.,  0., 11.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([  2,  17,  -6, -13]), array([520, 220, 620, 560]), array([0.25, 0.25, 0.25, 0.25])]","[array([12.,  0., 15.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([ -9,  -5,   2, -11]), array([710, 320, 470, 600]), array([0.15, 0.15, 0.15, 0.15])]","[array([12.,  0., 15.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-11, -18,  -9,  14]), array([480, 540, 780, 480]), array([0.25, 0.15, 0.25, 0.15])]","[array([10.,  0., 17.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-5, 15, -6, 11]), array([570, 750, 610, 210]), array([0.15, 0.15, 0.15, 0.25])]","[array([ 0., 10.,  0., 17.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.89,"[array([-12,   5,  11,   8]), array([700, 390, 690, 430]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  3.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 19, -14,  -5,  -6]), array([530, 800, 800, 490]), array([0.15, 0.15, 0.25, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.32,"[array([ 9, 15, 15, -9]), array([770, 640, 320, 640]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 0.,  3.,  0., 19.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 5,  2,  6, 19]), array([670, 600, 440, 570]), array([0.15, 0.25, 0.15, 0.25])]","[array([16.,  0.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([16, 12,  2, -2]), array([460, 450, 460, 380]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([12, -6,  9, -3]), array([380, 700, 350, 490]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 16, -18,   9,  -2]), array([250, 360, 590, 240]), array([0.25, 0.15, 0.15, 0.15])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([19, -7,  5, -7]), array([420, 490, 220, 760]), array([0.25, 0.25, 0.25, 0.15])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([12,  4, 17,  2]), array([410, 320, 320, 760]), array([0.15, 0.15, 0.15, 0.25])]","[array([16.,  0., 11.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([  7, -15,   7,   7]), array([390, 200, 760, 210]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 11,   2, -13,  -6]), array([300, 490, 450, 600]), array([0.15, 0.25, 0.25, 0.25])]","[array([11.,  0., 16.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([ -4,   1,  -4, -11]), array([240, 440, 600, 540]), array([0.15, 0.15, 0.15, 0.15])]","[array([12.,  0., 15.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([13,  6, 18,  0]), array([200, 270, 250, 340]), array([0.15, 0.15, 0.25, 0.25])]","[array([ 0.,  0., 19.,  0.]), array([200., 200., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([-10, -13,   4,   7]), array([260, 400, 600, 240]), array([0.25, 0.15, 0.15, 0.15])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 8, 15,  9,  6]), array([320, 700, 350, 300]), array([0.25, 0.25, 0.25, 0.25])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 17,  13, -18,  17]), array([570, 530, 230, 350]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([-17, -15, -11,  -3]), array([530, 710, 560, 730]), array([0.25, 0.15, 0.25, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-8, -5, 15,  3]), array([510, 500, 380, 310]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([  0,  -6,   1, -13]), array([770, 320, 750, 600]), array([0.25, 0.15, 0.25, 0.25])]","[array([11.,  0., 16.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([2, 5, 5, 7]), array([340, 330, 750, 380]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 7,  2, 11, -1]), array([340, 320, 790, 490]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([  5, -15,   5,   5]), array([370, 710, 590, 360]), array([0.25, 0.25, 0.25, 0.25])]","[array([10.,  0., 17.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([ -5, -15,  -3,  -6]), array([550, 660, 520, 480]), array([0.15, 0.25, 0.15, 0.25])]","[array([10.,  0., 17.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([  4,  17, -14,   2]), array([370, 270, 630, 430]), array([0.15, 0.25, 0.25, 0.15])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([-12,  -5,  -6, -16]), array([610, 600, 530, 780]), array([0.25, 0.15, 0.25, 0.15])]","[array([ 0., 15.,  0., 12.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ -3, -18, -18,   4]), array([450, 570, 470, 410]), array([0.25, 0.25, 0.25, 0.25])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ 1, 10, -4, 11]), array([660, 280, 590, 690]), array([0.25, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 18,  16,   5, -11]), array([710, 240, 600, 350]), array([0.15, 0.15, 0.25, 0.15])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ -5, -10,  16,  -2]), array([480, 490, 570, 320]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([13, 11,  2, -6]), array([630, 800, 290, 480]), array([0.15, 0.15, 0.25, 0.25])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.89,"[array([12,  5,  9, -5]), array([500, 770, 470, 720]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  0.,  3.,  0.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([  3,  -8, -17,  -2]), array([770, 520, 260, 750]), array([0.15, 0.15, 0.25, 0.15])]","[array([11.,  0., 16.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([15, -6,  8,  2]), array([770, 620, 360, 760]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-6, 13, -5, 11]), array([290, 400, 520, 370]), array([0.25, 0.15, 0.25, 0.15])]","[array([17.,  0.,  0., 10.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([ 1, -4, 17, 18]), array([370, 350, 350, 490]), array([0.25, 0.25, 0.15, 0.15])]","[array([17.,  0.,  0., 10.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 11, -19, -10,  17]), array([450, 380, 750, 500]), array([0.15, 0.15, 0.15, 0.15])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-18, -18,   9,  16]), array([220, 330, 770, 760]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 12, -11,   9,  -2]), array([410, 580, 240, 610]), array([0.15, 0.15, 0.15, 0.25])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-11,  11,  -9,  -3]), array([300, 730, 560, 440]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 7, 15, 14, -7]), array([580, 620, 420, 790]), array([0.25, 0.25, 0.15, 0.15])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-11,   5, -10,  10]), array([700, 580, 280, 640]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 12,  11, -16,  -1]), array([480, 660, 670, 780]), array([0.25, 0.25, 0.15, 0.15])]","[array([11.,  0., 16.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([ -5, -13,  11,  14]), array([730, 420, 210, 680]), array([0.25, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([  1, -15,   5,  14]), array([640, 240, 670, 740]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([  4, -16, -10,  -5]), array([740, 730, 620, 300]), array([0.15, 0.25, 0.25, 0.25])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([ 8, 13,  3, 10]), array([410, 390, 340, 380]), array([0.25, 0.15, 0.25, 0.15])]","[array([17.,  0.,  0., 10.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-2,  6, -5,  1]), array([450, 800, 730, 540]), array([0.25, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
3.44,"[array([  8, -10, -18,  -6]), array([760, 570, 580, 780]), array([0.25, 0.15, 0.15, 0.25])]","[array([ 0., 19.,  0.,  6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ -5, -10, -11,  -6]), array([280, 780, 440, 790]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-9,  0,  4,  1]), array([380, 510, 200, 620]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-17,  17, -19,   6]), array([410, 710, 270, 530]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-11,  18, -10,   5]), array([300, 710, 300, 500]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([17, -1, -3, 11]), array([760, 380, 290, 300]), array([0.25, 0.25, 0.25, 0.25])]","[array([17.,  0.,  0., 10.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([12, 11, 13, -6]), array([380, 560, 590, 320]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-12,   6,  -9,  12]), array([300, 760, 450, 750]), array([0.25, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.47,"[array([-7, 19,  9, 13]), array([690, 770, 610, 440]), array([0.15, 0.25, 0.25, 0.15])]","[array([17.,  0.,  0., 10.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-1, 16, -8,  5]), array([690, 670, 580, 700]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-17,  -3,   7,   3]), array([480, 580, 620, 280]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.05,"[array([ 18, -12,   5, -19]), array([590, 490, 220, 330]), array([0.15, 0.25, 0.15, 0.25])]","[array([ 8.,  0., 19.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-6,  6, 10,  0]), array([550, 290, 730, 690]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ -5,  -5,  13, -14]), array([480, 780, 710, 560]), array([0.15, 0.15, 0.15, 0.25])]","[array([16.,  0., 11.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 19,   4, -10,  -2]), array([410, 380, 480, 700]), array([0.25, 0.15, 0.15, 0.15])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([ 12, -16,  11, -16]), array([750, 750, 800, 610]), array([0.25, 0.15, 0.15, 0.15])]","[array([ 0., 16.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
